time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-05-10T04:51:33.410Z,19.4763333,-154.8811667,2.56,2.33,ml,6,149,0.008012,0.1,hv,hv70138842,2018-05-10T07:13:30.560Z,"3km ENE of Leilani Estates, Hawaii",earthquake,1.11,0.61,0.164,6,reviewed,hv,hv
2018-05-10T04:50:58.860Z,33.0483333,-116.353,11.76,0.72,ml,15,108,0.1662,0.21,ci,ci38170008,2018-05-10T04:54:33.711Z,"23km WSW of Ocotillo Wells, CA",earthquake,0.56,1.42,0.107,10,automatic,ci,ci
2018-05-10T04:50:31.490Z,34.0226667,-116.77,11.76,0.68,ml,15,67,0.1026,0.16,ci,ci38170000,2018-05-10T04:54:17.848Z,"12km N of Cabazon, CA",earthquake,0.38,1.3,0.158,14,automatic,ci,ci
2018-05-10T04:49:38.990Z,19.485,-154.8736667,-0.12,1.71,md,7,131,0.01481,0.11,hv,hv70138837,2018-05-10T06:57:13.620Z,"4km ENE of Leilani Estates, Hawaii",earthquake,0.38,0.3,0.135,3,reviewed,hv,hv
2018-05-10T04:41:00.070Z,19.4793333,-154.8733333,-0.13,2.46,ml,5,154,0.01748,0.11,hv,hv70138802,2018-05-10T06:00:43.830Z,"4km ENE of Leilani Estates, Hawaii",earthquake,0.46,0.37,0.133,7,reviewed,hv,hv
2018-05-10T04:40:21.360Z,33.0468333,-116.3745,10.31,1.74,ml,55,44,0.1595,0.25,ci,ci38169992,2018-05-10T04:51:39.090Z,"22km E of Julian, CA",earthquake,0.3,0.93,0.201,26,automatic,ci,ci
2018-05-10T04:40:09.520Z,33.0551667,-116.3635,10.85,0.68,ml,12,164,0.1651,0.18,ci,ci38169984,2018-05-10T04:43:41.097Z,"22km S of Borrego Springs, CA",earthquake,0.49,0.87,0.131,10,automatic,ci,ci
2018-05-10T04:34:48.320Z,19.4918333,-154.8806667,1.92,2.58,ml,7,114,0.01369,0.07,hv,hv70138772,2018-05-10T06:16:55.880Z,"3km ESE of Nanawale Estates, Hawaii",earthquake,0.64,0.31,0.18,7,reviewed,hv,hv
2018-05-10T04:34:30.327Z,63.344,-147.452,84.6,1.3,ml,,,,0.19,ak,ak19406482,2018-05-10T04:37:51.426Z,"75km E of Cantwell, Alaska",earthquake,,1,,,automatic,ak,ak
2018-05-10T04:32:17.660Z,38.824501,-122.8024979,-0.75,1.15,md,13,49,0.01744,0.15,nc,nc73014416,2018-05-10T04:48:01.550Z,"7km NW of The Geysers, CA",earthquake,0.41,1.98,0.14,5,automatic,nc,nc
2018-05-10T04:29:24.540Z,19.4011669,-155.2893372,2.77,1.92,md,16,174,0.01194,0.15,hv,hv70138742,2018-05-10T04:32:14.300Z,"6km WSW of Volcano, Hawaii",earthquake,0.82,0.5,0.4,3,automatic,hv,hv
2018-05-10T04:22:29.040Z,36.022,-117.8801667,1.11,0.67,ml,7,142,0.06999,0.11,ci,ci38169976,2018-05-10T04:26:03.020Z,"7km ESE of Coso Junction, CA",earthquake,0.31,0.61,0.173,8,automatic,ci,ci
2018-05-10T04:21:36.830Z,19.2245007,-154.7053375,15.82,2.36,md,12,297,0.2769,0.2,hv,hv70138712,2018-05-10T04:25:11.470Z,"34km SE of Leilani Estates, Hawaii",earthquake,4.49,18.6,0.04,3,automatic,hv,hv
2018-05-10T04:20:21.650Z,19.4946667,-154.8796667,1.02,2.36,ml,6,119,0.01658,0.07,hv,hv70138707,2018-05-10T06:26:46.740Z,"3km ESE of Nanawale Estates, Hawaii",earthquake,0.39,0.53,0.027,4,reviewed,hv,hv
2018-05-10T04:08:43.860Z,38.8063316,-122.8033371,0.35,1.46,md,17,81,0.01782,0.04,nc,nc73014401,2018-05-10T04:17:02.271Z,"5km NW of The Geysers, CA",earthquake,0.22,0.57,0.14,6,automatic,nc,nc
2018-05-10T04:04:25.330Z,38.8056679,-122.8075027,0.91,2.65,md,38,32,0.009805,0.07,nc,nc73014396,2018-05-10T06:47:47.115Z,"5km NW of The Geysers, CA",earthquake,0.17,0.27,0.15,27,automatic,nc,nc
2018-05-10T04:02:40.820Z,39.6186676,-123.0950012,0.23,1.64,md,6,159,0.1767,0.04,nc,nc73014391,2018-05-10T04:28:02.444Z,"23km SE of Covelo, CA",earthquake,0.48,8.23,0.01,3,automatic,nc,nc
2018-05-10T03:59:51.150Z,38.8083344,-122.8016663,1.81,1.34,md,17,74,0.004985,0.05,nc,nc73014386,2018-05-10T04:08:00.395Z,"5km NW of The Geysers, CA",earthquake,0.26,0.43,0.04,6,automatic,nc,nc
2018-05-10T03:57:45.610Z,19.3999996,-155.0010071,-0.59,1.84,md,19,231,0.06996,0.31,hv,hv70138662,2018-05-10T04:01:11.760Z,"11km SW of Leilani Estates, Hawaii",earthquake,1.97,0.51,0.33,6,automatic,hv,hv
2018-05-10T03:55:39.710Z,33.521,-116.7486667,4.14,0.56,ml,23,73,0.04529,0.16,ci,ci38169960,2018-05-10T03:59:20.837Z,"8km WSW of Anza, CA",earthquake,0.23,0.56,0.208,19,automatic,ci,ci
2018-05-10T03:48:17.090Z,33.5371667,-116.9615,0.32,0.47,ml,16,76,0.09981,0.33,ci,ci38169952,2018-05-10T03:52:16.733Z,"14km NW of Aguanga, CA",earthquake,0.78,31.61,0.152,17,automatic,ci,ci
2018-05-10T03:46:03.690Z,36.025,-117.8765,1.82,1.04,ml,15,140,0.06934,0.16,ci,ci38169936,2018-05-10T03:49:29.805Z,"7km ESE of Coso Junction, CA",earthquake,0.32,0.47,0.263,16,automatic,ci,ci
